Time (s),Count
0,0
0.00007671,0
0.00015342,0
0.00023013,0
0.00030684,1.2876116
0.00038355,0
0.00046026,1.8865573
0.00053697,0
0.00061368,0
0.00069039,1.759318
0.0007671,0
0.00084381,0
0.00092052,0
0.00099723,0
0.00107394,0
0.00115065,0
0.00122736,1.8908598
0.00130407,0
0.00138078,0
0.00145749,0
0.0015342,0
0.00161091,0
0.00168762,0
0.00176433,0
0.00184104,0
0.00191775,0
0.00199446,0
0.00207117,3.3853958
0.00214788,0.6376812
0.00222459,0
0.0023013,2.106255
0.00237801,0
0.00245472,0
0.00253143,1.9384016
0.00260814,3.5921733
0.00268485,3.0446022
0.00276156,3.3213735
0.00283827,2.804524
0.00291498,4.6364484
0.00299169,3.4907827
0.0030684,3.4885433
0.00314511,1.9249991
0.00322182,0
0.00329853,2.8948436
0.00337524,1.2659521
0.00345195,3.688087
0.00352866,1.249262
0.00360537,3.177335
0.00368208,1.2138101
0.00375879,2.2375536
0.0038355,2.0845997
0.00391221,2.7471023
0.00398892,0
0.00406563,0
0.00414234,1.0100477
0.00421905,0
0.00429576,0
0.00437247,0
0.00444918,0
0.00452589,0
0.0046026,0
0.00467931,0
0.00475602,0
0.00483273,0
0.00490944,0
0.00498615,0
0.00506286,0
0.00513957,0
0.00521628,0
0.00529299,0
0.0053697,0
0.00544641,0
0.00552312,0
0.00559983,1.0301807
0.00567654,0
0.00575325,0
0.00582996,0
0.00590667,0
0.00598338,1.5526369
0.00606009,2.0723295
0.0061368,0
0.00621351,2.0736716
0.00629022,0
0.00636693,0
0.00644364,0
0.00652035,0
0.00659706,0
0.00667377,0
0.00675048,0
0.00682719,0
0.0069039,0
0.00698061,0
0.00705732,1.3538312
0.00713403,0
0.00721074,0
0.00728745,0
0.00736416,0
0.00744087,0.9014904
0.00751758,0
0.00759429,0
0.007671,0
0.00774771,0
0.00782442,1.0287758
0.00790113,0
0.00797784,2.682082
0.00805455,0
0.00813126,0
0.00820797,0
0.00828468,0
0.00836139,0
0.0084381,0
0.00851481,0
0.00859152,0
0.00866823,2.196537
0.00874494,0
0.00882165,0
0.00889836,0
0.00897507,0
0.00905178,0
0.00912849,0
0.0092052,0
0.00928191,0
0.00935862,0
0.00943533,0
0.00951204,0
0.00958875,0
0.00966546,0
0.00974217,0
0.00981888,1.2778659
0.00989559,0
0.0099723,0
0.01004901,0
0.01012572,0
0.01020243,0
0.01027914,0
0.01035585,0
0.01043256,0
0.01050927,0
0.01058598,0
0.01066269,0
0.0107394,0
0.01081611,0
0.01089282,0
0.01096953,2.1935303
0.01104624,0
0.01112295,0
0.01119966,0
0.01127637,0
0.01135308,1.2961621
0.01142979,0
0.0115065,0
0.01158321,2.3005736
0.01165992,0
0.01173663,0
0.01181334,0
0.01189005,0
0.01196676,1.010379
0.01204347,0
0.01212018,3.061913
0.01219689,1.9037675
0.0122736,0
0.01235031,0
0.01242702,0
0.01250373,3.6811595
0.01258044,0
0.01265715,0
0.01273386,0
0.01281057,0
0.01288728,0
